date,state,district,pincode,bio_age_5_17,bio_age_17_
28-12-2025,Maharashtra,Mumbai Suburban,400043,37,38
28-12-2025,Maharashtra,Mumbai Suburban,400050,2,2
28-12-2025,Maharashtra,Mumbai Suburban,400058,5,5
28-12-2025,Maharashtra,Mumbai Suburban,400060,3,6
28-12-2025,Maharashtra,Mumbai Suburban,400066,7,10
28-12-2025,Maharashtra,Mumbai Suburban,400068,3,6
28-12-2025,Maharashtra,Mumbai Suburban,400076,5,2
28-12-2025,Maharashtra,Mumbai Suburban,400079,6,4
28-12-2025,Maharashtra,Mumbai Suburban,400080,2,2
28-12-2025,Maharashtra,Mumbai Suburban,400082,0,1
28-12-2025,Maharashtra,Mumbai Suburban,400089,5,1
01-01-2026,Maharashtra,Mumbai Suburban,400029,6,3
01-01-2026,Maharashtra,Mumbai Suburban,400052,7,8
01-01-2026,Maharashtra,Mumbai Suburban,400063,14,8
01-01-2026,Maharashtra,Mumbai Suburban,400065,23,7
01-01-2026,Maharashtra,Mumbai Suburban,400067,45,22
01-01-2026,Maharashtra,Mumbai Suburban,400071,49,13
01-01-2026,Maharashtra,Mumbai Suburban,400079,18,3
01-01-2026,Maharashtra,Mumbai Suburban,400087,11,3
01-01-2026,Maharashtra,Mumbai Suburban,400092,26,11
01-01-2026,Maharashtra,Mumbai Suburban,400095,38,35
29-12-2025,Maharashtra,Mumbai Suburban,400029,1,2
29-12-2025,Maharashtra,Mumbai Suburban,400050,7,1
29-12-2025,Maharashtra,Mumbai Suburban,400053,6,7
29-12-2025,Maharashtra,Mumbai Suburban,400055,7,1
29-12-2025,Maharashtra,Mumbai Suburban,400061,3,0
29-12-2025,Maharashtra,Mumbai Suburban,400069,5,2
29-12-2025,Maharashtra,Mumbai Suburban,400072,25,13
29-12-2025,Maharashtra,Mumbai Suburban,400088,7,2
29-12-2025,Maharashtra,Mumbai Suburban,400091,3,3
29-12-2025,Maharashtra,Mumbai Suburban,400092,7,5
29-12-2025,Maharashtra,Mumbai Suburban,400094,10,0
29-12-2025,Maharashtra,Mumbai Suburban,400097,11,8
03-01-2026,Maharashtra,Mumbai Suburban,400029,2,0
03-01-2026,Maharashtra,Mumbai Suburban,400051,10,3
03-01-2026,Maharashtra,Mumbai Suburban,400055,2,1
03-01-2026,Maharashtra,Mumbai Suburban,400057,1,2
03-01-2026,Maharashtra,Mumbai Suburban,400061,1,2
03-01-2026,Maharashtra,Mumbai Suburban,400070,4,5
03-01-2026,Maharashtra,Mumbai Suburban,400074,5,0
03-01-2026,Maharashtra,Mumbai Suburban,400075,2,0
03-01-2026,Maharashtra,Mumbai Suburban,400081,2,2
03-01-2026,Maharashtra,Mumbai Suburban,400086,8,0
03-01-2026,Maharashtra,Mumbai Suburban,400092,4,1
03-01-2026,Maharashtra,Mumbai Suburban,400095,4,5
03-01-2026,Maharashtra,Mumbai Suburban,400103,1,0
03-01-2026,Maharashtra,Mumbai Suburban,400104,2,1
02-01-2026,Maharashtra,Mumbai Suburban,400057,6,1
02-01-2026,Maharashtra,Mumbai Suburban,400071,21,9
02-01-2026,Maharashtra,Mumbai Suburban,400078,29,16
02-01-2026,Maharashtra,Mumbai Suburban,400088,14,17
03-12-2025,Maharashtra,Mumbai Suburban,400087,2,1
27-12-2025,Maharashtra,Mumbai Suburban,400059,13,11
27-12-2025,Maharashtra,Mumbai Suburban,400064,8,8
27-12-2025,Maharashtra,Mumbai Suburban,400068,9,12
27-12-2025,Maharashtra,Mumbai Suburban,400070,40,25
27-12-2025,Maharashtra,Mumbai Suburban,400071,31,11
27-12-2025,Maharashtra,Mumbai Suburban,400076,5,4
27-12-2025,Maharashtra,Mumbai Suburban,400078,42,15
27-12-2025,Maharashtra,Mumbai Suburban,400089,16,9
27-12-2025,Maharashtra,Mumbai Suburban,400101,25,23
27-12-2025,Maharashtra,Mumbai Suburban,400102,20,5
27-12-2025,Maharashtra,Mumbai Suburban,400104,16,13
25-12-2025,Maharashtra,Mumbai Suburban,400052,1,7
25-12-2025,Maharashtra,Mumbai Suburban,400061,0,5
25-12-2025,Maharashtra,Mumbai Suburban,400066,2,24
25-12-2025,Maharashtra,Mumbai Suburban,400087,0,1
25-12-2025,Maharashtra,Mumbai Suburban,400094,0,1
25-12-2025,Maharashtra,Mumbai Suburban,400098,0,1
21-12-2025,Maharashtra,Mumbai Suburban,400063,2,10
21-12-2025,Maharashtra,Mumbai Suburban,400071,0,6
21-12-2025,Maharashtra,Mumbai Suburban,400094,0,1
21-12-2025,Maharashtra,Mumbai Suburban,400103,0,8
14-12-2025,Maharashtra,Mumbai Suburban,400052,0,4
14-12-2025,Maharashtra,Mumbai Suburban,400092,1,21
14-12-2025,Maharashtra,Mumbai Suburban,400051,1,0
14-12-2025,Maharashtra,Mumbai Suburban,400054,0,1
14-12-2025,Maharashtra,Mumbai Suburban,400059,7,5
14-12-2025,Maharashtra,Mumbai Suburban,400071,1,0
