date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Maharashtra,Mumbai Suburban,400072,159,1180
01-03-2025,Maharashtra,Mumbai Suburban,400043,230,1648
01-03-2025,Maharashtra,Mumbai Suburban,400091,23,263
01-03-2025,Maharashtra,Mumbai Suburban,400052,13,243
01-03-2025,Maharashtra,Mumbai Suburban,400082,16,81
01-03-2025,Maharashtra,Mumbai Suburban,400081,32,360
01-03-2025,Maharashtra,Mumbai Suburban,400051,60,578
01-05-2025,Maharashtra,Mumbai Suburban,400088,65,416
01-05-2025,Maharashtra,Mumbai Suburban,400097,159,1237
01-06-2025,Maharashtra,Mumbai Suburban,400104,142,1041
01-07-2025,Maharashtra,Mumbai Suburban,400043,464,2034
01-07-2025,Maharashtra,Mumbai Suburban,400067,195,1763
01-03-2025,Maharashtra,Mumbai Suburban,400088,91,522
01-03-2025,Maharashtra,Mumbai Suburban,400084,37,221
01-09-2025,Maharashtra,Mumbai Suburban,400024,0,10
01-09-2025,Maharashtra,Mumbai Suburban,400029,0,4
01-09-2025,Maharashtra,Mumbai Suburban,400049,3,9
01-09-2025,Maharashtra,Mumbai Suburban,400050,0,9
01-09-2025,Maharashtra,Mumbai Suburban,400053,1,9
01-09-2025,Maharashtra,Mumbai Suburban,400056,1,10
01-09-2025,Maharashtra,Mumbai Suburban,400057,0,8
01-09-2025,Maharashtra,Mumbai Suburban,400064,3,19
01-09-2025,Maharashtra,Mumbai Suburban,400069,1,10
01-09-2025,Maharashtra,Mumbai Suburban,400070,4,35
01-09-2025,Maharashtra,Mumbai Suburban,400076,0,5
01-09-2025,Maharashtra,Mumbai Suburban,400088,6,17
01-09-2025,Maharashtra,Mumbai Suburban,400093,1,8
01-09-2025,Maharashtra,Mumbai Suburban,400102,2,34
01-09-2025,Maharashtra,Mumbai Suburban,400103,0,12
02-09-2025,Maharashtra,Mumbai Suburban,400055,1,13
02-09-2025,Maharashtra,Mumbai Suburban,400057,0,9
02-09-2025,Maharashtra,Mumbai Suburban,400059,1,12
02-09-2025,Maharashtra,Mumbai Suburban,400064,1,19
02-09-2025,Maharashtra,Mumbai Suburban,400067,3,38
02-09-2025,Maharashtra,Mumbai Suburban,400069,0,16
02-09-2025,Maharashtra,Mumbai Suburban,400070,7,41
02-09-2025,Maharashtra,Mumbai Suburban,400071,1,28
02-09-2025,Maharashtra,Mumbai Suburban,400072,4,42
02-09-2025,Maharashtra,Mumbai Suburban,400089,0,8
02-09-2025,Maharashtra,Mumbai Suburban,400093,1,14
02-09-2025,Maharashtra,Mumbai Suburban,400098,1,6
02-09-2025,Maharashtra,Mumbai Suburban,400101,3,23
02-09-2025,Maharashtra,Mumbai Suburban,400104,1,13
03-09-2025,Maharashtra,Mumbai Suburban,400049,0,6
03-09-2025,Maharashtra,Mumbai Suburban,400052,0,7
03-09-2025,Maharashtra,Mumbai Suburban,400063,2,9
03-09-2025,Maharashtra,Mumbai Suburban,400068,3,32
03-09-2025,Maharashtra,Mumbai Suburban,400069,0,9
03-09-2025,Maharashtra,Mumbai Suburban,400070,3,43
